Feature,Importance
fecal_coliform_mpn,0.29341918
season_encoded,0.16813472
sanitation_access_percent,0.12010807
total_coliform_mpn,0.07523473
water_source_encoded,0.07499158
turbidity_ntu,0.06735384
dissolved_oxygen_mg_l,0.023501933
population_served,0.019571988
temperature_c,0.0141228745
state_encoded,0.0138137555
bod_mg_l,0.013669998
arsenic_ug_l,0.013290118
chloride_mg_l,0.013275255
location_type_encoded,0.013094545
iron_mg_l,0.012938254
ph,0.012929797
hardness_mg_l,0.0128515195
tds_mg_l,0.012697378
fluoride_mg_l,0.012678933
nitrate_mg_l,0.012321548
